Position	GC	N
50	0.520	0.000
150	0.440	0.000
250	0.320	0.000
350	0.490	0.000
450	0.450	0.000
550	0.540	0.000
650	0.390	0.000
750	0.510	0.000
850	0.470	0.000
950	0.430	0.000
1050	0.420	0.000
1150	0.460	0.000
1250	0.470	0.000
1350	0.480	0.000
1450	0.520	0.000
1550	0.380	0.000
1650	0.470	0.000
1750	0.400	0.000
1850	0.330	0.000
1950	0.470	0.000
2050	0.400	0.000
2150	0.380	0.000
2250	0.410	0.000
2350	0.370	0.000
2450	0.410	0.000
2550	0.520	0.000
2650	0.470	0.000
2750	0.410	0.000
2850	0.480	0.000
2950	0.420	0.000
3050	0.480	0.000
3150	0.404	0.010
3250	0.430	0.000
3350	0.420	0.000
3450	0.550	0.000
3550	0.570	0.000
3650	0.500	0.000
3750	0.440	0.000
3850	0.460	0.000
3950	0.520	0.000
4050	0.410	0.000
4150	0.460	0.000
4250	0.350	0.000
4350	0.440	0.000
4450	0.470	0.000
4550	0.430	0.000
4650	0.420	0.000
4750	0.330	0.000
4850	0.500	0.000
4950	0.450	0.000
5050	0.320	0.000
5150	0.430	0.000
5250	0.520	0.000
5350	0.480	0.000
5450	0.430	0.000
5550	0.330	0.000
5650	0.430	0.000
5750	0.530	0.000
5850	0.440	0.000
5950	0.480	0.000
6050	0.490	0.000
6150	0.470	0.000
6250	0.530	0.000
6350	0.520	0.000
6450	0.450	0.000
6550	0.550	0.000
6650	0.370	0.000
6750	0.390	0.000
6850	0.500	0.000
6950	0.460	0.000
7050	0.450	0.000
7150	0.440	0.000
7250	0.460	0.000
7350	0.400	0.000
7450	0.480	0.000
7550	0.300	0.000
7650	0.430	0.000
7750	0.420	0.000
7850	0.510	0.000
7950	0.510	0.000
8050	0.430	0.000
8150	0.500	0.000
8250	0.470	0.000
8350	0.370	0.000
8450	0.370	0.000
8550	0.440	0.000
8650	0.390	0.000
8750	0.410	0.000
8850	0.450	0.000
8950	0.480	0.000
9050	0.480	0.000
9150	0.420	0.000
9250	0.530	0.000
9350	0.450	0.000
9450	0.430	0.000
9550	0.600	0.000
9650	0.380	0.000
9750	0.440	0.000
9850	0.440	0.000
9950	0.430	0.000
10050	0.300	0.000
10150	0.440	0.000
10250	0.390	0.000
10350	0.400	0.000
10450	0.250	0.000
10550	0.390	0.000
10650	0.530	0.000
10750	0.380	0.000
10850	0.340	0.000
10950	0.510	0.000
11050	0.380	0.000
11150	0.470	0.000
11250	0.450	0.000
11350	0.380	0.000
11450	0.500	0.000
11550	0.450	0.000
11650	0.490	0.000
11750	0.460	0.000
11850	0.470	0.000
11950	0.420	0.000
12050	0.460	0.000
12150	0.420	0.000
12250	0.410	0.000
12350	0.430	0.000
12450	0.380	0.000
12550	0.440	0.000
12650	0.350	0.000
12750	0.400	0.000
12850	0.500	0.000
12950	0.500	0.000
13050	0.560	0.000
13150	0.470	0.000
13250	0.420	0.000
13350	0.460	0.000
13450	0.450	0.000
13550	0.470	0.000
13650	0.430	0.000
13750	0.510	0.000
13850	0.410	0.000
13950	0.520	0.000
14050	0.370	0.000
14150	0.390	0.000
14250	0.460	0.000
14350	0.460	0.000
14450	0.480	0.000
14550	0.350	0.000
14650	0.440	0.000
14750	0.340	0.000
14850	0.550	0.000
14950	0.510	0.000
15050	0.450	0.000
15150	0.470	0.000
15250	0.460	0.000
15350	0.490	0.000
15450	0.470	0.000
15550	0.500	0.000
15650	0.410	0.000
15750	0.470	0.000
15850	0.360	0.000
15950	0.380	0.000
16050	0.390	0.000
16150	0.430	0.000
16250	0.480	0.000
16350	0.480	0.000
16450	0.520	0.000
16534	0.449	0.000
